Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
USH1C,hippocampus,12.7,4.6585492227979275,1.4468758547859066,High
MYH13,hippocampus,0.1,0.009326424870466322,3.422532021799566,High
CD79B,hippocampus,0.1,0.04455958549222798,1.1661922807710012,High
TOMM34,hippocampus,49.6,20.261658031088082,1.2915878845066693,High
MIPEP,hippocampus,18.6,5.982383419689119,1.6365103383519677,High
SLC4A7,hippocampus,35.1,14.621761658031089,1.2633538900822583,High
STAP1,hippocampus,0.2,0.07823834196891193,1.3540522968203748,High
TLL1,hippocampus,14.6,4.3699481865284975,1.7402802898458314,High
TG,hippocampus,2.5,0.527979274611399,2.2433748906614506,High
THOC3,hippocampus,66.0,28.208808290155442,1.2263203053790863,High
NNAT,hippocampus,106.3,46.44922279792746,1.1944152345429664,High
MCOLN3,hippocampus,3.2,0.2948186528497409,3.440172194517233,High
PKP2,hippocampus,10.5,2.817616580310881,1.8978421188719803,High
CAMK2B,hippocampus,209.1,91.87305699481865,1.1864793229281525,High
PSD,hippocampus,330.1,104.64507772020725,1.6573986866473027,High
AHRR,hippocampus,6.4,2.8865284974093264,1.1487364365840653,High
DMRT3,hippocampus,1.9,0.3119170984455959,2.6067648735653695,High
PDZD4,hippocampus,148.0,71.1238341968912,1.0571921705922849,High
CNGB1,hippocampus,23.7,8.235233160621762,1.5250056570641297,High
CAMK2A,hippocampus,716.9,192.0,1.9006655812498507,High
TRHDE,hippocampus,18.5,7.274093264248705,1.346685942297055,High
NOX3,hippocampus,0.1,0.004663212435233161,4.42253200633067,High
WSCD2,hippocampus,29.1,9.811917098445596,1.5684122034926156,High
ATP12A,hippocampus,0.1,0.025906735751295335,1.948600843367248,High
ITGA8,hippocampus,7.9,2.129015544041451,1.8916661702280255,High
SCGN,hippocampus,6.9,2.295336787564767,1.587890510561924,High
MOXD1,hippocampus,9.7,3.9207253886010367,1.30686414964103,High
KCNN2,hippocampus,33.3,15.36217616580311,1.1161395783397,High
IL12RB2,hippocampus,5.3,1.9119170984455958,1.4709723908352836,High
SEMA5B,hippocampus,12.4,4.197927461139897,1.5625909779457867,High
TFAP2C,hippocampus,2.0,0.8124352331606218,1.2996752879347926,High
FKBP1A,hippocampus,140.8,66.57512953367876,1.0805920984046742,High
TESC,hippocampus,19.2,7.603626943005182,1.3363466550929999,High
CHGB,hippocampus,176.5,63.78911917098445,1.4682859211133028,High
TBX5,hippocampus,1.3,0.1067357512953368,3.6063962269852796,High
PTGS1,hippocampus,13.0,6.277720207253886,1.050198987489279,High
NRP1,hippocampus,81.8,26.703108808290153,1.615093131167599,High
DDTL,hippocampus,0.2,0.031088082901554404,2.68556643774024,High
CABP7,hippocampus,50.7,11.229533678756477,2.1746877280565835,High
CPNE6,hippocampus,103.4,41.19067357512954,1.327846562305869,High
PDYN,hippocampus,48.2,9.040932642487046,2.414489635803305,High
LIPG,hippocampus,6.6,3.005181347150259,1.135013971698089,High
BRS3,hippocampus,0.1,0.04870466321243524,1.037868184071009,High
NDFIP2,hippocampus,21.9,10.563730569948186,1.0518114589568075,High
SMPD3,hippocampus,38.7,11.472538860103626,1.754148872865494,High
AQP9,hippocampus,3.0,1.162176165803109,1.368133727714279,High
ENTREP2,hippocampus,3.8,1.6176165803108808,1.2321297286825361,High
TRPA1,hippocampus,1.6,0.40880829015544046,1.9685755469918877,High
GML,hippocampus,0.6,0.2088082901554404,1.5227835090108,High
SLC17A7,hippocampus,496.1,129.0279792746114,1.9429470141870757,High
ICAM5,hippocampus,71.8,16.277720207253886,2.141085188417881,High
MEIS3,hippocampus,66.4,30.38860103626943,1.1276529808091973,High
PLPPR2,hippocampus,123.1,45.476165803108806,1.4366482341843423,High
KCNN1,hippocampus,63.0,17.79740932642487,1.8236845775237118,High
PIK3R2,hippocampus,66.1,28.743523316062177,1.2014133568011993,High
GRIK5,hippocampus,62.2,27.248704663212436,1.1907269310276516,High
SIPA1L3,hippocampus,52.1,18.54922279792746,1.4899246325025992,High
LHX2,hippocampus,62.2,23.671502590673576,1.3937632937426105,High
NCS1,hippocampus,435.6,191.63419689119172,1.1846489228178443,High
RAPGEFL1,hippocampus,68.2,33.99689119170984,1.004368912512661,High
MMD,hippocampus,108.5,36.10880829015544,1.5872723301799303,High
MYH1,hippocampus,0.2,0.018134715025906734,3.463174013089029,High
KLHL2,hippocampus,96.5,43.53678756476684,1.148293982610254,High
GALNT18,hippocampus,32.5,16.23678756476684,1.0011734934228071,High
CYP27B1,hippocampus,0.1,0.04818652849740933,1.0532982246087639,High
RASAL1,hippocampus,22.9,8.952849740932644,1.3549287200165978,High
NT5DC3,hippocampus,38.2,15.372538860103628,1.313217184456503,High
TULP1,hippocampus,0.3,0.04248704663212436,2.8198675304564396,High
CAP2,hippocampus,79.1,39.37875647668394,1.0062601409287601,High
B3GAT2,hippocampus,29.4,13.669948186528499,1.1048083803768372,High
SEMA5A,hippocampus,39.9,16.28238341968912,1.2930768492899494,High
UNC5A,hippocampus,50.1,24.500518134715026,1.031998343884336,High
MORC1,hippocampus,1.2,0.1823834196891192,2.7179879186811404,High
EFCC1,hippocampus,3.3,1.3259067357512955,1.315486724521997,High
ACVR1,hippocampus,30.0,14.06321243523316,1.0930363163332102,High
SLC30A3,hippocampus,37.4,15.755440414507772,1.2471881872884523,High
ITGA4,hippocampus,3.6,1.4212435233160623,1.340843131800681,High
SLC9A2,hippocampus,2.4,1.1922279792746113,1.009374269704251,High
FHL2,hippocampus,15.9,7.875647668393782,1.0135562893248808,High
EPHA4,hippocampus,76.1,31.698445595854924,1.2634843574035806,High
DLGAP3,hippocampus,104.1,52.00984455958549,1.0011134373263622,High
ST6GALNAC5,hippocampus,9.9,2.5870466321243524,1.936122465976404,High
PLPPR4,hippocampus,51.3,18.166321243523317,1.4976925284933096,High
SLC8A2,hippocampus,56.8,25.635233160621762,1.1477629101604536,High
TNNT2,hippocampus,4.8,1.8476683937823835,1.3773285503162158,High
FILIP1,hippocampus,5.1,2.517098445595855,1.0187356045746832,High
CNR1,hippocampus,31.5,13.861139896373055,1.1843059235686482,High
TCF21,hippocampus,2.3,0.905181347150259,1.345355100311678,High
RXYLT1,hippocampus,0.1,0.035751295336787565,1.483932577897242,High
FKBP1B,hippocampus,23.8,10.567357512953368,1.171346913888548,High
