Gene name,Subregion,TPM,Average_brain,Fold_change,Expression_level
TSPAN6,frontal eye field,2.8,4.400518134715026,-0.6522465752824784,Normal
DPM1,frontal eye field,4.5,7.684974093264249,-0.7721153950144888,Normal
SCYL3,frontal eye field,3.5,4.762694300518135,-0.444423028422138,Normal
C1orf112,frontal eye field,1.2,1.570984455958549,-0.3886345001534642,Normal
FGR,frontal eye field,3.8,5.487564766839378,-0.5301666435509998,Normal
CFH,frontal eye field,3.8,3.8818652849740936,-0.030750633530579025,Normal
FUCA2,frontal eye field,11.0,18.162694300518137,-0.7234747078205356,Normal
GCLC,frontal eye field,14.1,22.676683937823835,-0.6855145245555473,Normal
NFYA,frontal eye field,17.2,20.393264248704664,-0.2456841539520588,Normal
STPG1,frontal eye field,5.2,5.942487046632125,-0.19255523014316575,Normal
NIPAL3,frontal eye field,42.2,63.58549222797927,-0.5914546364138803,Normal
LAS1L,frontal eye field,5.6,8.107772020725388,-0.5338786956185808,Normal
SEMA3F,frontal eye field,4.9,9.034715025906737,-0.8826973469016777,Normal
ANKIB1,frontal eye field,88.3,92.06269430051813,-0.06020322712027982,Normal
CYP51A1,frontal eye field,27.7,52.538860103626945,-0.9234989234583345,Normal
KRIT1,frontal eye field,0.9,1.2792746113989637,-0.5073290823848641,Normal
RAD52,frontal eye field,11.5,12.552331606217615,-0.12632150972200407,Normal
BAD,frontal eye field,44.0,44.86839378238342,-0.02819601498529705,Normal
LAP3,frontal eye field,15.2,23.438341968911917,-0.6247991932793981,Normal
HS3ST1,frontal eye field,5.5,8.067357512953368,-0.5526645731653116,Normal
AOC1,frontal eye field,0.7,0.9020725388601036,-0.36588852827924856,Normal
WNT16,frontal eye field,0.5,0.45906735751295336,0.12322224357469697,Normal
HECW1,frontal eye field,31.9,21.23264248704663,0.5872724924186379,Normal
MAD1L1,frontal eye field,12.4,13.16839378238342,-0.08673926268017224,Normal
LASP1,frontal eye field,54.2,52.163730569948186,0.05524580175112523,Normal
SNX11,frontal eye field,9.0,11.129533678756477,-0.30639623927195275,Normal
TMEM176A,frontal eye field,12.2,22.318652849740932,-0.8713688011633448,Normal
M6PR,frontal eye field,32.8,45.06528497409327,-0.4583206988800303,Normal
CYP26B1,frontal eye field,7.8,13.907772020725387,-0.8343452943002031,Normal
ICA1,frontal eye field,17.3,16.170466321243524,0.0974107542480533,Normal
DBNDD1,frontal eye field,49.0,37.79481865284974,0.374593282405013,Normal
ALS2,frontal eye field,8.6,9.649740932642487,-0.1661535509362807,Normal
CASP10,frontal eye field,7.1,7.541450777202073,-0.08702306223617633,Normal
CFLAR,frontal eye field,50.9,62.12176165803109,-0.2874330861614689,Normal
TFPI,frontal eye field,8.3,8.954922279792745,-0.10956957458410928,Normal
